#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AADACL2	SUCNR1	9606.ENSP00000348911	9606.ENSP00000355156	0	0	0	0	0.054	0	0	0.714	0.718
DNAJB1	SEC62	9606.ENSP00000254322	9606.ENSP00000337688	0	0	0	0	0.064	0	0	0.435	0.449
DNAJB1	SUGT1	9606.ENSP00000254322	9606.ENSP00000367208	0	0	0	0	0.160	0.244	0	0.236	0.473
DNAJB1	SEL1L	9606.ENSP00000254322	9606.ENSP00000337053	0.044	0	0	0	0.053	0.057	0	0.456	0.474
DNAJB1	LRRK2	9606.ENSP00000254322	9606.ENSP00000298910	0	0	0	0	0.062	0.353	0	0.234	0.495
DNAJB1	MDM2	9606.ENSP00000254322	9606.ENSP00000258149	0	0	0	0	0	0.270	0	0.475	0.600
DNAJB1	MAPK6	9606.ENSP00000254322	9606.ENSP00000261845	0	0	0	0	0	0.094	0.650	0.061	0.676
DNAJB1	HSPA4	9606.ENSP00000254322	9606.ENSP00000302961	0.042	0	0.341	0	0.260	0.870	0.900	0.992	0.999
DPP10	TMEM263	9606.ENSP00000376855	9606.ENSP00000280756	0	0	0	0	0	0	0	0.692	0.692
DPP10	DPP8	9606.ENSP00000376855	9606.ENSP00000339208	0	0	0.376	0.588	0.065	0	0	0.836	0.473
DPP10	PDE4D	9606.ENSP00000376855	9606.ENSP00000345502	0	0	0	0	0.062	0	0	0.414	0.426
DPP10	PCDH11X	9606.ENSP00000376855	9606.ENSP00000362186	0	0	0	0	0.086	0	0	0.411	0.439
DPP10	PCDH9	9606.ENSP00000376855	9606.ENSP00000367096	0	0	0	0	0.096	0	0	0.420	0.454
DPP10	KCNIP4	9606.ENSP00000376855	9606.ENSP00000371587	0	0	0	0	0.126	0.057	0	0.574	0.619
DPP10	DENND1B	9606.ENSP00000376855	9606.ENSP00000479816	0	0	0	0	0	0	0	0.556	0.556
DPP8	DPP10	9606.ENSP00000339208	9606.ENSP00000376855	0	0	0.376	0.588	0.065	0	0	0.836	0.473
DPP8	PREPL	9606.ENSP00000339208	9606.ENSP00000386543	0	0	0	0	0.065	0	0	0.505	0.517
DPY19L3	TMTC3	9606.ENSP00000344937	9606.ENSP00000266712	0	0	0	0	0.066	0	0	0.636	0.646
DPY19L3	MBOAT2	9606.ENSP00000344937	9606.ENSP00000302177	0	0	0	0	0	0	0	0.458	0.458
DPY19L4	EMC2	9606.ENSP00000389630	9606.ENSP00000220853	0	0	0	0	0.140	0	0	0.394	0.456
DPY19L4	TMTC3	9606.ENSP00000389630	9606.ENSP00000266712	0	0	0	0	0.144	0	0	0.637	0.676
DPY19L4	FNDC3A	9606.ENSP00000389630	9606.ENSP00000441831	0	0	0	0	0.062	0	0	0.515	0.525
DSC2	DSG1	9606.ENSP00000280904	9606.ENSP00000257192	0	0	0	0.672	0.065	0.270	0.600	0.881	0.788
DSC2	OCLN	9606.ENSP00000280904	9606.ENSP00000347379	0	0	0	0	0.101	0	0	0.402	0.439
DSC2	LPAR6	9606.ENSP00000280904	9606.ENSP00000367691	0	0	0	0	0	0	0	0.575	0.575
DSC2	CTNNA3	9606.ENSP00000280904	9606.ENSP00000389714	0	0	0	0	0.062	0.159	0	0.562	0.624
DSE	DCN	9606.ENSP00000332151	9606.ENSP00000052754	0	0	0	0	0.097	0	0.900	0.539	0.954
DSE	GLCE	9606.ENSP00000332151	9606.ENSP00000261858	0	0	0	0	0	0	0	0.460	0.459
DSE	EXTL2	9606.ENSP00000332151	9606.ENSP00000359132	0	0	0	0	0	0	0	0.403	0.403
DSE	DDX3X	9606.ENSP00000332151	9606.ENSP00000382840	0	0	0	0	0	0	0	0.493	0.493
DSG1	CTSC	9606.ENSP00000257192	9606.ENSP00000227266	0	0	0	0	0	0.057	0	0.496	0.504
DSG1	CTNNA3	9606.ENSP00000257192	9606.ENSP00000389714	0	0	0	0	0.062	0.159	0	0.346	0.439
DSG1	OCLN	9606.ENSP00000257192	9606.ENSP00000347379	0	0	0	0	0.062	0	0	0.474	0.485
DSG1	SGCZ	9606.ENSP00000257192	9606.ENSP00000371512	0	0	0	0	0	0	0	0.739	0.739
DSG1	DSC2	9606.ENSP00000257192	9606.ENSP00000280904	0	0	0	0.672	0.065	0.270	0.600	0.881	0.788
DSG1	ERBB2IP	9606.ENSP00000257192	9606.ENSP00000426632	0	0	0	0	0	0.056	0	0.964	0.964
DTWD2	SERINC1	9606.ENSP00000425048	9606.ENSP00000342962	0	0	0	0	0	0	0	0.634	0.634
DTWD2	DMXL1	9606.ENSP00000425048	9606.ENSP00000439479	0	0	0	0	0.077	0	0	0.465	0.485
DYNC1I2	CAPZA1	9606.ENSP00000380308	9606.ENSP00000263168	0	0	0	0	0.091	0.800	0.600	0.214	0.935
DYNC1I2	GALNT1	9606.ENSP00000380308	9606.ENSP00000269195	0	0	0	0	0.084	0	0.600	0	0.618
DYNC1I2	PGR	9606.ENSP00000380308	9606.ENSP00000325120	0	0	0	0	0.062	0.077	0.900	0.045	0.906
DYNC1I2	SNX2	9606.ENSP00000380308	9606.ENSP00000368831	0	0	0	0	0.121	0	0	0.390	0.441
E2F5	SKP1	9606.ENSP00000398124	9606.ENSP00000231487	0	0	0	0	0.062	0	0.650	0.233	0.726
E2F5	MDM2	9606.ENSP00000398124	9606.ENSP00000258149	0	0	0	0	0	0	0	0.458	0.457
E2F5	ATM	9606.ENSP00000398124	9606.ENSP00000278616	0	0	0	0	0.068	0	0	0.445	0.461
E2F5	CCNG1	9606.ENSP00000398124	9606.ENSP00000344635	0	0	0	0	0.085	0.171	0	0.295	0.419
E2F5	TEN1-CDK3	9606.ENSP00000398124	9606.ENSP00000400088	0	0	0	0	0.064	0.148	0	0.505	0.570
E2F5	CCNE2	9606.ENSP00000398124	9606.ENSP00000429089	0	0	0	0	0.085	0.369	0.600	0.632	0.903
EFR3A	FAM126A	9606.ENSP00000254624	9606.ENSP00000403396	0	0	0	0	0.062	0	0	0.404	0.417
EFR3A	FAM126B	9606.ENSP00000254624	9606.ENSP00000393667	0	0	0	0	0.062	0	0	0.510	0.521
EIF2A	EIF3E	9606.ENSP00000417229	9606.ENSP00000220849	0	0	0	0	0.545	0.610	0	0.295	0.864
EIF2A	EIF2AK2	9606.ENSP00000417229	9606.ENSP00000233057	0	0	0	0	0.175	0.487	0.900	0.384	0.970
EIF2A	EIF2S1	9606.ENSP00000417229	9606.ENSP00000256383	0	0	0	0	0.365	0.789	0.900	0.714	0.995
EIF2A	XRN1	9606.ENSP00000417229	9606.ENSP00000264951	0	0	0	0	0.064	0.572	0	0.110	0.612
EIF2A	RIOK2	9606.ENSP00000417229	9606.ENSP00000283109	0	0	0	0	0.525	0.345	0	0.043	0.676
EIF2A	TGFBR1	9606.ENSP00000417229	9606.ENSP00000364133	0	0	0	0	0	0	0.900	0	0.900
EIF2A	NCBP1	9606.ENSP00000417229	9606.ENSP00000364289	0	0	0	0	0.145	0.347	0	0.111	0.460
EIF2A	MYSM1	9606.ENSP00000417229	9606.ENSP00000418734	0	0	0	0	0.167	0.253	0	0.142	0.419
EIF2A	EIF4E	9606.ENSP00000417229	9606.ENSP00000425561	0	0	0	0	0.104	0.131	0	0.479	0.558
EIF2AK2	PIK3C3	9606.ENSP00000233057	9606.ENSP00000262039	0	0	0	0	0.122	0	0	0.398	0.448
EIF2AK2	MBNL3	9606.ENSP00000233057	9606.ENSP00000359890	0	0	0	0	0	0	0	0.500	0.499
EIF2AK2	MBNL2	9606.ENSP00000233057	9606.ENSP00000267287	0	0	0	0	0	0	0	0.501	0.501
EIF2AK2	DICER1	9606.ENSP00000233057	9606.ENSP00000437256	0	0	0	0	0.055	0.397	0	0.261	0.542
EIF2AK2	TLR3	9606.ENSP00000233057	9606.ENSP00000296795	0	0	0	0	0.077	0.163	0	0.493	0.574
EIF2AK2	DDX60	9606.ENSP00000233057	9606.ENSP00000377344	0	0	0	0	0.313	0	0	0.417	0.583
EIF2AK2	STAU2	9606.ENSP00000233057	9606.ENSP00000428756	0	0	0	0	0.047	0.561	0	0.288	0.676
EIF2AK2	EIF2A	9606.ENSP00000233057	9606.ENSP00000417229	0	0	0	0	0.175	0.487	0.900	0.384	0.970
EIF2AK2	EIF2S1	9606.ENSP00000233057	9606.ENSP00000256383	0	0	0	0	0.184	0.904	0.900	0.696	0.997
EIF2S1	EIF3E	9606.ENSP00000256383	9606.ENSP00000220849	0	0	0	0	0.743	0.822	0.600	0.489	0.989
EIF2S1	TWISTNB	9606.ENSP00000256383	9606.ENSP00000222567	0	0	0	0	0.512	0	0	0	0.512
EIF2S1	EIF2AK2	9606.ENSP00000256383	9606.ENSP00000233057	0	0	0	0	0.184	0.904	0.900	0.696	0.997
EIF2S1	CANX	9606.ENSP00000256383	9606.ENSP00000247461	0	0	0	0	0.074	0	0	0.540	0.557
EIF2S1	RIOK2	9606.ENSP00000256383	9606.ENSP00000283109	0	0	0	0	0.162	0	0	0.314	0.400
EIF2S1	UCHL5	9606.ENSP00000256383	9606.ENSP00000356425	0	0	0	0	0.301	0	0	0.181	0.403
EIF2S1	XPO1	9606.ENSP00000256383	9606.ENSP00000384863	0	0	0	0	0.309	0	0	0.182	0.410
EIF2S1	OXR1	9606.ENSP00000256383	9606.ENSP00000405424	0	0	0	0	0	0	0	0.428	0.428
EIF2S1	FXR1	9606.ENSP00000256383	9606.ENSP00000350170	0	0	0	0	0.168	0.091	0	0.315	0.437
EIF2S1	UBE2V2	9606.ENSP00000256383	9606.ENSP00000428209	0	0	0	0	0.455	0	0	0	0.455
EIF2S1	FARSB	9606.ENSP00000256383	9606.ENSP00000281828	0	0	0	0	0.335	0.056	0	0.202	0.455
EIF2S1	MAPK8	9606.ENSP00000256383	9606.ENSP00000378974	0	0	0	0	0	0	0	0.473	0.473
EIF2S1	XRN1	9606.ENSP00000256383	9606.ENSP00000264951	0	0	0	0	0.100	0	0	0.441	0.476
EIF2S1	DCP2	9606.ENSP00000256383	9606.ENSP00000373715	0	0	0	0	0.081	0.163	0	0.393	0.493
EIF2S1	TNPO1	9606.ENSP00000256383	9606.ENSP00000336712	0	0	0	0	0.504	0	0	0.046	0.506
EIF2S1	HBS1L	9606.ENSP00000256383	9606.ENSP00000356811	0	0	0	0	0.121	0.212	0	0.345	0.507
EIF2S1	METAP2	9606.ENSP00000256383	9606.ENSP00000325312	0	0	0	0	0.340	0	0	0.329	0.538
EIF2S1	BBS10	9606.ENSP00000256383	9606.ENSP00000376946	0	0	0	0	0.344	0	0	0.393	0.584
EIF2S1	SYNCRIP	9606.ENSP00000256383	9606.ENSP00000358635	0	0	0	0	0.560	0	0	0.182	0.625
EIF2S1	PSMA5	9606.ENSP00000256383	9606.ENSP00000271308	0	0	0.220	0	0.672	0.061	0	0.052	0.742
EIF2S1	HSPA4	9606.ENSP00000256383	9606.ENSP00000302961	0	0	0	0	0.507	0	0	0.550	0.769
EIF2S1	DDX3X	9606.ENSP00000256383	9606.ENSP00000382840	0	0	0	0	0.204	0.717	0	0.441	0.863
EIF2S1	EIF4E	9606.ENSP00000256383	9606.ENSP00000425561	0	0	0	0	0.373	0.062	0.900	0.864	0.990
EIF2S1	EIF2A	9606.ENSP00000256383	9606.ENSP00000417229	0	0	0	0	0.365	0.789	0.900	0.714	0.995
EIF3E	METAP2	9606.ENSP00000220849	9606.ENSP00000325312	0	0	0	0	0.386	0	0	0.063	0.400
EIF3E	NRAS	9606.ENSP00000220849	9606.ENSP00000358548	0	0	0	0	0.068	0.241	0	0.256	0.428
EIF3E	RRAS2	9606.ENSP00000220849	9606.ENSP00000256196	0	0	0	0	0.051	0.241	0	0.287	0.441
EIF3E	TNPO1	9606.ENSP00000220849	9606.ENSP00000336712	0	0	0	0	0.367	0	0	0.155	0.442
EIF3E	FARSB	9606.ENSP00000220849	9606.ENSP00000281828	0	0	0	0	0.365	0	0	0.181	0.457
EIF3E	NCBP1	9606.ENSP00000220849	9606.ENSP00000364289	0	0	0	0	0.106	0	0	0.426	0.466
EIF3E	NAP1L1	9606.ENSP00000220849	9606.ENSP00000477538	0	0	0	0	0.380	0	0	0.193	0.479
EIF3E	MYSM1	9606.ENSP00000220849	9606.ENSP00000418734	0	0	0	0	0.157	0.348	0	0.188	0.514
EIF3E	EMC2	9606.ENSP00000220849	9606.ENSP00000220853	0	0	0	0	0.277	0	0	0.370	0.525
EIF3E	ATM	9606.ENSP00000220849	9606.ENSP00000278616	0	0	0	0	0	0.270	0	0.475	0.600
EIF3E	EIF4E	9606.ENSP00000220849	9606.ENSP00000425561	0	0	0	0	0.108	0.274	0	0.737	0.815
EIF3E	BBS10	9606.ENSP00000220849	9606.ENSP00000376946	0	0	0	0	0.825	0	0	0.079	0.831
EIF3E	EIF2A	9606.ENSP00000220849	9606.ENSP00000417229	0	0	0	0	0.545	0.610	0	0.295	0.864
EIF3E	DDX3X	9606.ENSP00000220849	9606.ENSP00000382840	0	0	0	0	0.126	0.845	0	0.251	0.890
EIF3E	EIF2S1	9606.ENSP00000220849	9606.ENSP00000256383	0	0	0	0	0.743	0.822	0.600	0.489	0.989
EIF4E	EIF3E	9606.ENSP00000425561	9606.ENSP00000220849	0	0	0	0	0.108	0.274	0	0.737	0.815
EIF4E	NUP107	9606.ENSP00000425561	9606.ENSP00000229179	0	0	0	0	0.081	0	0.900	0.094	0.909
EIF4E	EIF2S1	9606.ENSP00000425561	9606.ENSP00000256383	0	0	0	0	0.373	0.062	0.900	0.864	0.990
EIF4E	MDM2	9606.ENSP00000425561	9606.ENSP00000258149	0	0	0	0	0.069	0	0	0.458	0.473
EIF4E	XRN1	9606.ENSP00000425561	9606.ENSP00000264951	0	0	0	0	0.062	0.255	0	0.862	0.895
EIF4E	DCP1B	9606.ENSP00000425561	9606.ENSP00000280665	0	0	0	0	0.065	0	0	0.389	0.404
EIF4E	RICTOR	9606.ENSP00000425561	9606.ENSP00000296782	0	0	0	0	0	0	0	0.767	0.767
EIF4E	LRRK2	9606.ENSP00000425561	9606.ENSP00000298910	0	0	0	0	0.062	0.400	0	0.284	0.563
EIF4E	HSPA4	9606.ENSP00000425561	9606.ENSP00000302961	0	0	0	0	0.090	0.059	0	0.398	0.439
EIF4E	PUM2	9606.ENSP00000425561	9606.ENSP00000338173	0	0	0	0	0.062	0.126	0	0.764	0.789
EIF4E	ATAD1	9606.ENSP00000425561	9606.ENSP00000339017	0	0	0	0	0.643	0	0	0	0.643
EIF4E	ATP7A	9606.ENSP00000425561	9606.ENSP00000345728	0	0	0	0	0.062	0	0	0.824	0.828
EIF4E	FXR1	9606.ENSP00000425561	9606.ENSP00000350170	0	0	0	0	0.064	0.244	0	0.489	0.607
EIF4E	G3BP2	9606.ENSP00000425561	9606.ENSP00000352738	0	0	0	0	0.156	0.058	0	0.369	0.455
EIF4E	CNOT7	9606.ENSP00000425561	9606.ENSP00000355279	0	0	0	0	0.092	0.104	0.900	0.531	0.956
EIF4E	SYNCRIP	9606.ENSP00000425561	9606.ENSP00000358635	0	0	0	0	0.139	0	0	0.378	0.442
EIF4E	PTBP2	9606.ENSP00000425561	9606.ENSP00000359216	0	0	0	0	0.081	0	0.900	0.110	0.911
EIF4E	MCTS1	9606.ENSP00000425561	9606.ENSP00000360365	0	0	0	0	0.122	0	0	0.401	0.452
EIF4E	NDC1	9606.ENSP00000425561	9606.ENSP00000360483	0	0	0	0	0.065	0	0.900	0	0.902
EIF4E	NCBP1	9606.ENSP00000425561	9606.ENSP00000364289	0	0	0	0	0.066	0.822	0.900	0.875	0.997
EIF4E	DCP2	9606.ENSP00000425561	9606.ENSP00000373715	0	0	0	0	0.056	0	0.900	0.845	0.984
EIF4E	LARP4	9606.ENSP00000425561	9606.ENSP00000381490	0	0	0	0	0.125	0.245	0	0.434	0.594
EIF4E	DDX3X	9606.ENSP00000425561	9606.ENSP00000382840	0	0	0	0	0.063	0.889	0	0.991	0.999
EIF4E	XPO1	9606.ENSP00000425561	9606.ENSP00000384863	0	0	0	0	0.064	0	0	0.839	0.843
EIF4E	CREB1	9606.ENSP00000425561	9606.ENSP00000387699	0	0	0	0	0.062	0	0	0.397	0.411
EIF4E	PAPD4	9606.ENSP00000425561	9606.ENSP00000397563	0	0	0	0	0.064	0.155	0	0.615	0.669
EIF4E	EIF2A	9606.ENSP00000425561	9606.ENSP00000417229	0	0	0	0	0.104	0.131	0	0.479	0.558
EIF4E	DICER1	9606.ENSP00000425561	9606.ENSP00000437256	0	0	0	0	0.062	0.126	0.900	0.536	0.956
ELF1	GABPA	9606.ENSP00000239882	9606.ENSP00000346886	0	0	0	0.604	0.123	0.139	0	0.775	0.451
ELF1	PAX5	9606.ENSP00000239882	9606.ENSP00000350844	0	0	0	0	0	0.059	0.600	0.078	0.622
ELF1	ELF2	9606.ENSP00000239882	9606.ENSP00000377782	0	0	0	0.831	0	0	0.600	0.422	0.626
ELF2	ELF1	9606.ENSP00000377782	9606.ENSP00000239882	0	0	0	0.831	0	0	0.600	0.422	0.626
ELF2	PAX5	9606.ENSP00000377782	9606.ENSP00000350844	0	0	0	0	0	0.059	0.600	0.101	0.632
ELF2	PCDH9	9606.ENSP00000377782	9606.ENSP00000367096	0	0	0	0	0.062	0.058	0	0.391	0.415
ELF2	OR2AG1	9606.ENSP00000377782	9606.ENSP00000485326	0	0	0	0	0	0	0	0.450	0.450
ELK3	PIK3R1	9606.ENSP00000228741	9606.ENSP00000428056	0	0	0	0	0	0.409	0	0.067	0.425
ELTD1	EMCN	9606.ENSP00000359778	9606.ENSP00000296420	0	0	0	0	0.583	0	0	0.407	0.742
ELTD1	MOSPD1	9606.ENSP00000359778	9606.ENSP00000359819	0	0	0	0	0	0	0	0.411	0.411
ELTD1	SLC44A5	9606.ENSP00000359778	9606.ENSP00000359892	0	0	0	0	0.062	0	0	0.613	0.621
EMC2	EIF3E	9606.ENSP00000220853	9606.ENSP00000220849	0	0	0	0	0.277	0	0	0.370	0.525
EMC2	OXR1	9606.ENSP00000220853	9606.ENSP00000405424	0	0	0	0	0.142	0	0	0.342	0.411
EMC2	DPY19L4	9606.ENSP00000220853	9606.ENSP00000389630	0	0	0	0	0.140	0	0	0.394	0.456
EMC2	SLC25A46	9606.ENSP00000220853	9606.ENSP00000348211	0	0	0	0	0.066	0.117	0	0.404	0.466
EMC2	CANX	9606.ENSP00000220853	9606.ENSP00000247461	0	0	0	0	0.100	0.410	0	0.153	0.511
EMC2	OTOGL	9606.ENSP00000220853	9606.ENSP00000400895	0	0	0	0	0	0	0	0.656	0.656
EMCN	NPY1R	9606.ENSP00000296420	9606.ENSP00000354652	0	0	0	0	0.062	0	0	0.404	0.417
EMCN	MAD2L1	9606.ENSP00000296420	9606.ENSP00000296509	0	0	0	0	0	0	0	0.436	0.436
EMCN	ELTD1	9606.ENSP00000296420	9606.ENSP00000359778	0	0	0	0	0.583	0	0	0.407	0.742
ENPP4	STXBP6	9606.ENSP00000318066	9606.ENSP00000324302	0	0	0	0	0	0.058	0	0.440	0.450
ENPP4	SUPT3H	9606.ENSP00000318066	9606.ENSP00000360515	0	0	0	0	0	0	0	0.716	0.716
EPB41L5	TAOK1	9606.ENSP00000263713	9606.ENSP00000261716	0	0	0	0	0.062	0	0	0.467	0.478
EPB41L5	PRTG	9606.ENSP00000263713	9606.ENSP00000373937	0	0	0	0	0.076	0	0	0.397	0.419
EPB41L5	ZNF280D	9606.ENSP00000263713	9606.ENSP00000267807	0	0	0	0	0	0.056	0	0.454	0.463
EPHA5	ADAM10	9606.ENSP00000480763	9606.ENSP00000260408	0	0	0	0	0.061	0	0.600	0.210	0.677
EPHA5	CENPC	9606.ENSP00000480763	9606.ENSP00000273853	0	0	0	0	0.062	0	0	0.400	0.414
EPHA5	RASA1	9606.ENSP00000480763	9606.ENSP00000274376	0	0	0	0	0.063	0	0.800	0.194	0.835
EPHA5	UBA6	9606.ENSP00000480763	9606.ENSP00000313454	0	0	0	0	0	0.059	0	0.454	0.464
EPHA5	EPHA7	9606.ENSP00000480763	9606.ENSP00000358309	0	0	0	0.968	0.110	0	0.900	0.905	0.909
EPHA7	CHL1	9606.ENSP00000358309	9606.ENSP00000256509	0	0	0	0	0.090	0	0	0.705	0.721
EPHA7	ADAM10	9606.ENSP00000358309	9606.ENSP00000260408	0	0	0	0	0.061	0	0.600	0.210	0.677
EPHA7	SEMA3A	9606.ENSP00000358309	9606.ENSP00000265362	0	0	0	0	0.063	0.061	0	0.374	0.401
EPHA7	RASA1	9606.ENSP00000358309	9606.ENSP00000274376	0	0	0	0	0.063	0	0.800	0.154	0.827
EPHA7	EPHA5	9606.ENSP00000358309	9606.ENSP00000480763	0	0	0	0.968	0.110	0	0.900	0.905	0.909
EPS15	HGF	9606.ENSP00000360798	9606.ENSP00000222390	0	0	0	0	0	0	0.900	0.140	0.910
EPS15	AP3B1	9606.ENSP00000360798	9606.ENSP00000255194	0	0	0	0	0.123	0.181	0.360	0.137	0.550
EPS15	MDM2	9606.ENSP00000360798	9606.ENSP00000258149	0	0	0	0	0.063	0.068	0	0.442	0.470
EPS15	AP5M1	9606.ENSP00000360798	9606.ENSP00000261558	0	0	0	0	0.100	0.076	0.360	0.058	0.431
EPS15	FNBP1L	9606.ENSP00000360798	9606.ENSP00000271234	0	0	0	0	0	0.147	0	0.339	0.412
EPS15	PANK1	9606.ENSP00000360798	9606.ENSP00000302108	0	0	0	0	0	0	0.540	0	0.540
EPS15	MOB4	9606.ENSP00000360798	9606.ENSP00000315702	0	0	0	0	0.077	0.226	0	0.923	0.940
EPS15	OCLN	9606.ENSP00000360798	9606.ENSP00000347379	0	0	0	0	0	0.270	0	0.589	0.687
EPS15	SCYL2	9606.ENSP00000360798	9606.ENSP00000354061	0	0	0	0	0.099	0	0	0.395	0.432
EPS15	OPA1	9606.ENSP00000360798	9606.ENSP00000354681	0	0	0	0	0.131	0.174	0	0.286	0.443
EPS15	CLHC1	9606.ENSP00000360798	9606.ENSP00000384869	0	0	0	0	0.183	0.145	0	0.291	0.461
EPS15	SNX2	9606.ENSP00000360798	9606.ENSP00000368831	0	0	0	0	0.146	0.056	0	0.397	0.472
EPS15	XPO1	9606.ENSP00000360798	9606.ENSP00000384863	0	0	0	0	0.120	0	0	0.465	0.510
EPS15	MACC1	9606.ENSP00000360798	9606.ENSP00000383185	0	0	0	0	0	0	0	0.539	0.539
EPS15	NEDD4	9606.ENSP00000360798	9606.ENSP00000424827	0	0	0	0	0.063	0.483	0	0.745	0.866
EPS8	ACTR3	9606.ENSP00000281172	9606.ENSP00000263238	0	0	0	0	0	0.056	0	0.635	0.641
EPS8	PLS1	9606.ENSP00000281172	9606.ENSP00000336831	0	0	0	0	0.062	0	0	0.394	0.407
EPS8	PCDH15	9606.ENSP00000281172	9606.ENSP00000363068	0	0	0	0	0	0	0	0.407	0.407
EPS8	GRIA2	9606.ENSP00000281172	9606.ENSP00000296526	0	0	0	0	0	0.116	0.360	0.056	0.419
EPS8	OCLN	9606.ENSP00000281172	9606.ENSP00000347379	0	0	0	0	0.062	0	0	0.412	0.425
EPS8	MOB4	9606.ENSP00000281172	9606.ENSP00000315702	0	0	0	0	0	0	0	0.439	0.439
EPS8	RASSF8	9606.ENSP00000281172	9606.ENSP00000384491	0	0	0	0	0	0.388	0	0.156	0.462
EPS8	RDX	9606.ENSP00000281172	9606.ENSP00000384136	0	0	0	0	0.062	0	0	0.466	0.478
EPS8	PLS3	9606.ENSP00000281172	9606.ENSP00000348163	0	0	0	0	0.096	0	0	0.453	0.485
EPS8	PIK3R1	9606.ENSP00000281172	9606.ENSP00000428056	0	0	0	0	0	0.182	0.900	0.118	0.921
EPS8	SOS1	9606.ENSP00000281172	9606.ENSP00000387784	0	0	0	0	0.062	0.854	0.900	0.992	0.999
EPS8	ABI1	9606.ENSP00000281172	9606.ENSP00000365312	0	0	0	0	0	0.880	0.900	0.992	0.999
ERBB2IP	DSG1	9606.ENSP00000426632	9606.ENSP00000257192	0	0	0	0	0	0.056	0	0.964	0.964
ERBB2IP	PHF3	9606.ENSP00000426632	9606.ENSP00000262043	0	0	0	0	0.141	0	0	0.617	0.657
ERBB2IP	SLC4A7	9606.ENSP00000426632	9606.ENSP00000295736	0	0	0	0	0.064	0	0	0.466	0.480
ERBB2IP	SCN1A	9606.ENSP00000426632	9606.ENSP00000303540	0	0	0	0	0.062	0	0	0.439	0.451
ERBB2IP	ERBB4	9606.ENSP00000426632	9606.ENSP00000342235	0	0	0	0	0	0.142	0.900	0.227	0.927
ERBB2IP	DLG1	9606.ENSP00000426632	9606.ENSP00000345731	0	0	0	0.542	0.083	0.369	0	0.504	0.530
ERBB2IP	ARHGAP12	9606.ENSP00000426632	9606.ENSP00000345808	0	0	0	0	0.125	0	0	0.488	0.533
ERBB2IP	SHOC2	9606.ENSP00000426632	9606.ENSP00000358464	0	0	0	0.683	0.127	0.270	0	0.959	0.537
ERBB2IP	NRAS	9606.ENSP00000426632	9606.ENSP00000358548	0	0	0	0	0	0.361	0	0.162	0.442
ERBB2IP	MUSK	9606.ENSP00000426632	9606.ENSP00000363571	0	0	0	0	0	0.306	0	0.413	0.576
ERBB2IP	SUGT1	9606.ENSP00000426632	9606.ENSP00000367208	0	0	0	0	0.052	0.145	0	0.590	0.639
ERBB2IP	SOS1	9606.ENSP00000426632	9606.ENSP00000387784	0	0	0	0	0.066	0.060	0.650	0.129	0.696
ERBB2IP	LIN7A	9606.ENSP00000426632	9606.ENSP00000447488	0	0	0	0	0	0	0	0.403	0.403
ERBB2IP	PIK3R1	9606.ENSP00000426632	9606.ENSP00000428056	0	0	0	0	0.062	0	0.650	0.123	0.686
ERBB4	DCN	9606.ENSP00000342235	9606.ENSP00000052754	0	0	0	0	0	0.103	0.800	0.555	0.913
ERBB4	HGF	9606.ENSP00000342235	9606.ENSP00000222390	0	0	0	0	0.062	0	0.600	0.429	0.767
ERBB4	KITLG	9606.ENSP00000342235	9606.ENSP00000228280	0	0	0	0	0	0	0.600	0.222	0.675
ERBB4	RRAS2	9606.ENSP00000342235	9606.ENSP00000256196	0	0	0	0	0.062	0.334	0	0.249	0.490
ERBB4	CHL1	9606.ENSP00000342235	9606.ENSP00000256509	0	0	0	0	0.173	0.184	0	0.215	0.424
ERBB4	MDM2	9606.ENSP00000342235	9606.ENSP00000258149	0	0	0	0	0	0.270	0.900	0.376	0.950
ERBB4	ADAM10	9606.ENSP00000342235	9606.ENSP00000260408	0	0	0	0	0	0	0	0.441	0.441
ERBB4	RASA1	9606.ENSP00000342235	9606.ENSP00000274376	0	0	0	0	0	0.555	0	0.286	0.668
ERBB4	ATM	9606.ENSP00000342235	9606.ENSP00000278616	0	0	0	0	0.063	0	0	0.532	0.542
ERBB4	FBXW7	9606.ENSP00000342235	9606.ENSP00000281708	0	0	0	0	0	0	0	0.565	0.565
ERBB4	PGR	9606.ENSP00000342235	9606.ENSP00000325120	0	0	0	0	0.071	0.102	0.900	0.510	0.953
ERBB4	LATS1	9606.ENSP00000342235	9606.ENSP00000437550	0	0	0	0	0	0	0	0.431	0.431
ERBB4	LIN7A	9606.ENSP00000342235	9606.ENSP00000447488	0	0	0	0	0.065	0.343	0	0.266	0.510
ERBB4	XPO1	9606.ENSP00000342235	9606.ENSP00000384863	0	0	0	0	0	0.270	0	0.426	0.563
ERBB4	GABRA1	9606.ENSP00000342235	9606.ENSP00000393097	0	0	0	0	0.130	0.076	0.600	0.179	0.701
ERBB4	DLG1	9606.ENSP00000342235	9606.ENSP00000345731	0	0	0	0	0.049	0.386	0.500	0.246	0.750
ERBB4	NCK1	9606.ENSP00000342235	9606.ENSP00000417273	0	0	0	0	0	0.705	0	0.435	0.826
